Ticker,Cambio(%) 1_dia,Fecha
GM,-1,22-dic-20
GOOG,-1,22-dic-20
GOOGL,-1,22-dic-20
GPC,1,22-dic-20
GPN,-1,22-dic-20
GPS,-1,22-dic-20
GRMN,1,22-dic-20
GS,-1,22-dic-20
GWW,-1,22-dic-20
HAL,-1,22-dic-20
HAS,-1,22-dic-20
HBAN,-1,22-dic-20
HBI,-1,22-dic-20
HCA,1,22-dic-20
HD,-1,22-dic-20
HES,-1,22-dic-20
HFC,-1,22-dic-20
HIG,1,22-dic-20
HII,-1,22-dic-20
HLT,-1,22-dic-20
HOLX,-1,22-dic-20
HON,-1,22-dic-20
HPE,-1,22-dic-20
HPQ,1,22-dic-20
HRL,-1,22-dic-20
HSIC,-1,22-dic-20
HST,-1,22-dic-20
HSY,-1,22-dic-20
HUM,-1,22-dic-20
HWM,0,22-dic-20
IBM,1,22-dic-20
ICE,1,22-dic-20
IDXX,1,22-dic-20
IEX,-1,22-dic-20
IFF,1,22-dic-20
ILMN,1,22-dic-20
INCY,1,22-dic-20
INFO,-1,22-dic-20
INTC,-1,22-dic-20
INTU,1,22-dic-20
IP,-1,22-dic-20
IPG,-1,22-dic-20
IPGP,1,22-dic-20
IQV,1,22-dic-20
IR,-1,22-dic-20
IRM,1,22-dic-20
ISRG,1,22-dic-20
IT,-1,22-dic-20
ITW,-1,22-dic-20
IVZ,-1,22-dic-20
J,-1,22-dic-20
JBHT,-1,22-dic-20
JCI,-1,22-dic-20
JKHY,-1,22-dic-20
JNJ,-1,22-dic-20
JNPR,-1,22-dic-20
JPM,-1,22-dic-20
K,-1,22-dic-20
KEY,-1,22-dic-20
KEYS,1,22-dic-20
KHC,-1,22-dic-20
KIM,-1,22-dic-20
KLAC,-1,22-dic-20
KMB,-1,22-dic-20
KMI,-1,22-dic-20
KMX,-1,22-dic-20
KO,-1,22-dic-20
KR,1,22-dic-20
KSU,-1,22-dic-20
L,-1,22-dic-20
LB,-1,22-dic-20
LDOS,-1,22-dic-20
LEG,1,22-dic-20
LEN,1,22-dic-20
LH,-1,22-dic-20
LHX,-1,22-dic-20
LIN,-1,22-dic-20
LKQ,1,22-dic-20
LLY,-1,22-dic-20
LMT,-1,22-dic-20
LNC,-1,22-dic-20
LNT,-1,22-dic-20
LOW,1,22-dic-20
LRCX,-1,22-dic-20
LUMN,-1,22-dic-20
LUV,-1,22-dic-20
LVS,-1,22-dic-20
LW,-1,22-dic-20
LYB,-1,22-dic-20
LYV,-1,22-dic-20
MA,-1,22-dic-20
MAA,1,22-dic-20
MAR,-1,22-dic-20
MAS,1,22-dic-20
MCD,1,22-dic-20
MCHP,-1,22-dic-20
MCK,-1,22-dic-20
MCO,1,22-dic-20
MDLZ,-1,22-dic-20
MDT,1,22-dic-20
MET,-1,22-dic-20
MGM,-1,22-dic-20
MHK,-1,22-dic-20
MKC,-1,22-dic-20
MKTX,1,22-dic-20
MLM,-1,22-dic-20
MMC,-1,22-dic-20
MMM,-1,22-dic-20
MNST,-1,22-dic-20
MO,-1,22-dic-20
MOS,-1,22-dic-20
MPC,-1,22-dic-20
MRK,1,22-dic-20
MRO,-1,22-dic-20
MS,-1,22-dic-20
MSCI,1,22-dic-20
MSFT,1,22-dic-20
MSI,1,22-dic-20
MTB,-1,22-dic-20
MTD,-1,22-dic-20
MU,-1,22-dic-20
MXIM,1,22-dic-20
NCLH,-1,22-dic-20
NDAQ,1,22-dic-20
NEE,1,22-dic-20
NEM,-1,22-dic-20
NFLX,-1,22-dic-20
NI,1,22-dic-20
NKE,-1,22-dic-20
NLOK,1,22-dic-20
NLSN,1,22-dic-20
NOC,-1,22-dic-20
NOV,-1,22-dic-20
NOW,1,22-dic-20
NRG,1,22-dic-20
NSC,1,22-dic-20
NTAP,1,22-dic-20
NTRS,-1,22-dic-20
NUE,-1,22-dic-20
NVDA,-1,22-dic-20
NVR,-1,22-dic-20
NWL,1,22-dic-20
NWS,1,22-dic-20
NWSA,-1,22-dic-20
O,1,22-dic-20
ODFL,1,22-dic-20
OKE,-1,22-dic-20
OMC,-1,22-dic-20
ORCL,1,22-dic-20
ORLY,1,22-dic-20
OTIS,-1,22-dic-20
OXY,-1,22-dic-20
PAYC,1,22-dic-20
PAYX,1,22-dic-20
